val_mcc,learning_rate,weight_decay,stage_type,pooling,mp_layers,layers_pre_mp,layers_post_mp,layer_type,layer_fingerprints,hidden_channels,has_l2norm,has_bn,fingerprint_type,conv_dropout,conv_aggr,act
0.808761716,0.001,0.0005,skipconcat,mean,3,5,5,sageconv,1,256,False,True,morgan2,0.6,softmax,prelu
0.75320375,0.001,0.0005,skipsum,mean,1,5,5,sageconv,1,512,True,True,morgan2,0,max,lrelu_05
0.758939266,0.001,0.0005,skipsum,mean,1,1,5,sageconv,1,512,True,True,morgan2,0.3,max,lrelu_01
0.773314416,0.001,0.0005,skipconcat,mean,3,5,5,sageconv,1,256,False,False,morgan2,0.6,sum,lrelu_01
0.77946949,0.001,0.0005,skipconcat,mean,1,4,5,sageconv,1,256,False,True,morgan2,0.3,max,prelu
0.774810612,0.001,0.0005,skipsum,add,1,2,5,sageconv,1,512,False,True,morgan2,0,mean,lrelu_025
0.750862539,0.001,0.0005,skipsum,max,3,2,2,sageconv,1,512,True,True,morgan2,0,max,lrelu_025
0.761968911,0.001,0.0005,skipsum,mean,3,2,2,sageconv,1,256,True,False,morgan2,0.3,sum,prelu
0.744969189,0.001,0.0005,stack,max,3,5,5,sageconv,1,256,False,True,morgan2,0.6,mean,prelu
0.764388561,0.001,0.0005,stack,max,3,2,3,sageconv,1,256,False,True,morgan2,0,sum,relu
0.757103324,0.001,0.0005,skipsum,max,1,4,3,sageconv,1,256,True,True,morgan2,0.3,max,lrelu_05
0.736515403,0.001,0.0005,skipconcat,mean,2,4,3,sageconv,1,512,True,True,morgan2,0.6,max,prelu
0.691218376,0.001,0.0005,stack,add,2,1,3,sageconv,1,256,True,False,morgan2,0.3,mean,lrelu_05
0.765172362,0.001,0.0005,stack,max,2,1,2,sageconv,1,256,False,False,morgan2,0,sum,swish
0.760716975,0.001,0.0005,skipconcat,mean,2,4,4,sageconv,1,512,True,False,morgan2,0.6,softmax,lrelu_025
0.77136445,0.001,0.0005,stack,add,1,3,5,sageconv,1,512,False,True,morgan2,0.6,max,prelu
0.779037118,0.001,0.0005,skipsum,mean,3,3,1,sageconv,1,256,False,False,morgan2,0.6,mean,relu
0.753318548,0.001,0.0005,skipconcat,add,1,2,1,sageconv,1,512,False,True,morgan2,0,softmax,lrelu_01
0.781045437,0.001,0.0005,skipconcat,add,3,3,0,sageconv,1,256,False,False,morgan2,0.6,mean,relu
0.792232037,0.001,0.0005,stack,mean,2,3,5,sageconv,1,512,False,True,morgan2,0.6,sum,prelu
0.786083758,0.001,0.0005,stack,mean,2,2,2,sageconv,1,256,True,True,morgan2,0,softmax,relu
0.772852063,0.001,0.0005,stack,mean,2,2,5,sageconv,1,512,False,True,morgan2,0.6,max,swish
0.793246508,0.001,0.0005,skipconcat,mean,2,1,2,sageconv,1,256,False,True,morgan2,0,softmax,relu
0.748475492,0.001,0.0005,stack,max,3,3,5,sageconv,1,512,True,False,morgan2,0.3,max,lrelu_01
0.739129424,0.001,0.0005,skipconcat,mean,2,3,5,sageconv,1,512,False,False,morgan2,0.6,sum,prelu
0.757103324,0.001,0.0005,skipsum,mean,3,3,3,sageconv,1,256,True,True,morgan2,0,mean,relu
0.781477273,0.001,0.0005,skipconcat,mean,3,2,1,sageconv,1,256,False,True,morgan2,0,sum,relu
0.763228834,0.001,0.0005,skipsum,add,3,4,5,sageconv,1,512,False,True,morgan2,0.6,sum,lrelu_01
0.761508703,0.001,0.0005,skipconcat,mean,1,2,3,sageconv,1,256,True,True,morgan2,0,sum,relu
0.787007511,0.001,0.0005,stack,mean,1,3,5,sageconv,1,512,False,True,morgan2,0,softmax,relu
0.696456313,0.001,0.0005,skipsum,max,1,3,1,sageconv,1,512,False,False,morgan2,0.6,mean,swish
0.702190816,0.001,0.0005,skipconcat,max,3,2,4,sageconv,1,512,True,True,morgan2,0,mean,lrelu_01
